"VAR","RESPONSE","MEANING"
"HUD_08",7,"Stimme voll und ganz zu [7]"
"HUD_08",-9,"nicht beantwortet"
"VS01_09",1,"Stimme gar nicht zu [1]"
"VS01_09",2,"[2]"
"VS01_09",3,"[3]"
"VS01_09",4,"[4]"
"VS01_09",5,"[5]"
"VS01_09",6,"[6]"
"VS01_09",7,"Stimme voll und ganz zu [7]"
"VS01_09",-9,"nicht beantwortet"
"PREF_STRAT_0",1,"sehr schlecht [-3]"
"PREF_STRAT_0",2,"[-2]"
"PREF_STRAT_0",3,"[-1]"
"PREF_STRAT_0",4,"[0]"
"PREF_STRAT_0",5,"[+1]"
"PREF_STRAT_0",6,"[+2]"
"PREF_STRAT_0",7,"sehr gut [+3]"
"PREF_STRAT_0",-9,"nicht beantwortet"
"PREF_STRAT_1",1,"sehr schlecht [-3]"
"PREF_STRAT_1",2,"[-2]"
"PREF_STRAT_1",3,"[-1]"
"PREF_STRAT_1",4,"[0]"
"PREF_STRAT_1",5,"[+1]"
"PREF_STRAT_1",6,"[+2]"
"PREF_STRAT_1",7,"sehr gut [+3]"
"PREF_STRAT_1",-9,"nicht beantwortet"
"PREF_STRAT_2",1,"sehr schlecht [-3]"
"PREF_STRAT_2",2,"[-2]"
"PREF_STRAT_2",3,"[-1]"
"PREF_STRAT_2",4,"[0]"
"PREF_STRAT_2",5,"[+1]"
"PREF_STRAT_2",6,"[+2]"
"PREF_STRAT_2",7,"sehr gut [+3]"
"PREF_STRAT_2",-9,"nicht beantwortet"
"PREF_GAZE_0",1,"sehr schlecht [-3]"
"PREF_GAZE_0",2,"[-2]"
"PREF_GAZE_0",3,"[-1]"
"PREF_GAZE_0",4,"[0]"
"PREF_GAZE_0",5,"[+1]"
"PREF_GAZE_0",6,"[+2]"
"PREF_GAZE_0",7,"sehr gut [+3]"
"PREF_GAZE_0",-9,"nicht beantwortet"
"PREF_GAZE_1",1,"sehr schlecht [-3]"
"PREF_GAZE_1",2,"[-2]"
"PREF_GAZE_1",3,"[-1]"
"PREF_GAZE_1",4,"[0]"
"PREF_GAZE_1",5,"[+1]"
"PREF_GAZE_1",6,"[+2]"
"PREF_GAZE_1",7,"sehr gut [+3]"
"PREF_GAZE_1",-9,"nicht beantwortet"
"ID01",1,"1"
"ID01",2,"2"
"ID01",3,"3"
"ID01",4,"4"
"ID01",5,"5"
"ID01",6,"6"
"ID01",7,"7"
"ID01",8,"8"
"ID01",9,"9"
"ID01",10,"10"
"ID01",11,"11"
"ID01",12,"12"
"ID01",13,"13"
"ID01",14,"14"
"ID01",15,"15"
"ID01",16,"16"
"ID01",17,"17"
"ID01",18,"18"
"ID01",19,"19"
"ID01",20,"20"
"ID01",21,"21"
"ID01",22,"22"
"ID01",23,"23"
"ID01",24,"24"
"ID01",-9,"nicht beantwortet"
"ID02",1,"1"
"ID02",2,"2"
"ID02",3,"3"
"ID02",4,"4"
"ID02",5,"5"
"ID02",-9,"nicht beantwortet"
"IPQ_G1",1,"überhaupt nicht"
"IPQ_G1",2,
"IPQ_G1",3,
"IPQ_G1",4,
"IPQ_G1",5,
"IPQ_G1",6,
"IPQ_G1",7,"sehr stark"
"IPQ_G1",-9,"nicht beantwortet"
"IPQ_SP1",1,"trifft gar nicht zu"
"IPQ_SP1",2,
"IPQ_SP1",3,
"IPQ_SP1",4,
"IPQ_SP1",5,
"IPQ_SP1",6,
"IPQ_SP1",7,"trifft völlig zu"
"IPQ_SP1",-9,"nicht beantwortet"
"IPQ_SP2",1,"trifft gar nicht zu"
"IPQ_SP2",2,
"IPQ_SP2",3,
"IPQ_SP2",4,
"IPQ_SP2",5,
"IPQ_SP2",6,
"IPQ_SP2",7,"trifft völlig zu"
"IPQ_SP2",-9,"nicht beantwortet"
"IPQ_SP3",1,"hatte nicht das Gefühl"
"IPQ_SP3",2,
"IPQ_SP3",3,
"IPQ_SP3",4,
"IPQ_SP3",5,
"IPQ_SP3",6,
"IPQ_SP3",7,"hatte das Gefühl"
"IPQ_SP3",-9,"nicht beantwortet"
"IPQ_SP4",1,"trifft gar nicht zu"
"IPQ_SP4",2,
"IPQ_SP4",3,
"IPQ_SP4",4,
"IPQ_SP4",5,
"IPQ_SP4",6,
"IPQ_SP4",7,"trifft völlig zu"
"IPQ_SP4",-9,"nicht beantwortet"
"IPQ_SP5",1,"trifft gar nicht zu"
"IPQ_SP5",2,
"IPQ_SP5",3,
"IPQ_SP5",4,
"IPQ_SP5",5,
"IPQ_SP5",6,
"IPQ_SP5",7,"trifft völlig zu"
"IPQ_SP5",-9,"nicht beantwortet"
"IPQ_INV1",1,"extrem bewußt"
"IPQ_INV1",2,
"IPQ_INV1",3,
"IPQ_INV1",4,"mittelmäßig bewußt"
"IPQ_INV1",5,
"IPQ_INV1",6,
"IPQ_INV1",7,"unbewußt"
"IPQ_INV1",-9,"nicht beantwortet"
"IPQ_INV2",1,"trifft gar nicht zu"
"IPQ_INV2",2,
"IPQ_INV2",3,
"IPQ_INV2",4,
"IPQ_INV2",5,
"IPQ_INV2",6,
"IPQ_INV2",7,"trifft völlig zu"
"IPQ_INV2",-9,"nicht beantwortet"
"IPQ_INV3",1,"trifft gar nicht zu"
"IPQ_INV3",2,
"IPQ_INV3",3,
"IPQ_INV3",4,
"IPQ_INV3",5,
"IPQ_INV3",6,
"IPQ_INV3",7,"trifft völlig zu"
"IPQ_INV3",-9,"nicht beantwortet"
"IPQ_INV4",1,"trifft gar nicht zu"
"IPQ_INV4",2,
"IPQ_INV4",3,
"IPQ_INV4",4,
"IPQ_INV4",5,
"IPQ_INV4",6,
"IPQ_INV4",7,"trifft völlig zu"
"IPQ_INV4",-9,"nicht beantwortet"
"IPQ_REAL1",1,"vollkommen real"
"IPQ_REAL1",2,
"IPQ_REAL1",3,
"IPQ_REAL1",4,"weder noch"
"IPQ_REAL1",5,
"IPQ_REAL1",6,
"IPQ_REAL1",7,"gar nicht real"
"IPQ_REAL1",-9,"nicht beantwortet"
"IPQ_REAL2",1,"überhaupt nicht"
"IPQ_REAL2",2,
"IPQ_REAL2",3,
"IPQ_REAL2",4,"etwas"
"IPQ_REAL2",5,
"IPQ_REAL2",6,
"IPQ_REAL2",7,"vollständig"
"IPQ_REAL2",-9,"nicht beantwortet"
"IPQ_REAL3",1,"wie eine vorgestellte Welt"
"IPQ_REAL3",2,
"IPQ_REAL3",3,
"IPQ_REAL3",4,
"IPQ_REAL3",5,
"IPQ_REAL3",6,
"IPQ_REAL3",7,"nicht zu unterscheiden von der realen Welt"
"IPQ_REAL3",-9,"nicht beantwortet"
"IPQ_REAL4",1,"trifft gar nicht zu"
"IPQ_REAL4",2,
"IPQ_REAL4",3,
"IPQ_REAL4",4,
"IPQ_REAL4",5,
"IPQ_REAL4",6,
"IPQ_REAL4",7,"trifft völlig zu"
"IPQ_REAL4",-9,"nicht beantwortet"
"FINISHED",0,"abgebrochen"
"FINISHED",1,"ausgefüllt"
"Q_VIEWER",0,"Teilnehmer"
"Q_VIEWER",1,"Durchklicker"
