"VAR","LABEL","TYPE","INPUT","QUESTION"
"HUD_06","HUD: Das HUD hat mir geholfen, zu wissen was das Fahrzeug weiß.","ORDINAL","SCALE","Bitte bewerten Sie das Head-Up Display (HUD) während der Fahrt."
"HUD_07","HUD: Ich konnte dem HUD vertrauen.","ORDINAL","SCALE","Bitte bewerten Sie das Head-Up Display (HUD) während der Fahrt."
"HUD_08","HUD: Das HUD gab mir ein Gefühl der Sicherheit.","ORDINAL","SCALE","Bitte bewerten Sie das Head-Up Display (HUD) während der Fahrt."
"VS01_09","HUD: Ich würde das HUD nutzen.","ORDINAL","SCALE","Bitte bewerten Sie das Head-Up Display (HUD) während der Fahrt."
"PREF_STRAT_0","Warning Strategy Preference: Keine Warnungen","ORDINAL","SCALE","Wir würden Sie die einzelnen Warnstrategien bewerten?"
"PREF_STRAT_1","Warning Strategy Preference: Warnungen während der Übernahme","ORDINAL","SCALE","Wir würden Sie die einzelnen Warnstrategien bewerten?"
"PREF_STRAT_2","Warning Strategy Preference: Dauerhafte Warnungen","ORDINAL","SCALE","Wir würden Sie die einzelnen Warnstrategien bewerten?"
"PREF_GAZE_0","Gaze-Adaptivity Preference: während der Übernahme","ORDINAL","SCALE","Wie bewerten Sie den Blick-basierten Warnmechnismus?"
"PREF_GAZE_1","Gaze-Adaptivity Preference: dauerhaft","ORDINAL","SCALE","Wie bewerten Sie den Blick-basierten Warnmechnismus?"
"ID01","Participant ID","NOMINAL","SELECTION","Probandennummer"
"ID02","Condition ID","NOMINAL","SELECTION","Versuchsbedingung"
"IPQ_G1","IPQ_G1: In der computererzeugten Welt hatte ich den Eindruck, dort gewesen zu sein...","ORDINAL","SCALE",
"IPQ_SP1","IPQ_SP1: Ich hatte das Gefühl, daß die virtuelle Umgebung hinter mir weitergeht.","ORDINAL","SCALE",
"IPQ_SP2","IPQ_SP2: Ich hatte das Gefühl, nur Bilder zu sehen.","ORDINAL","SCALE",
"IPQ_SP3","IPQ_SP3: Ich hatte nicht das Gefühl, in dem virtuellen Raum zu sein.","ORDINAL","SCALE",
"IPQ_SP4","IPQ_SP4: Ich hatte das Gefühl, in dem virtuellen Raum zu handeln statt etwas von außen zu bedienen.","ORDINAL","SCALE",
"IPQ_SP5","IPQ_SP5: Ich fühlte mich im virtuellen Raum anwesend.","ORDINAL","SCALE",
"IPQ_INV1","IPQ_INV1: Wie bewußt war Ihnen die reale Welt, während Sie sich durch die virtuelle Welt bewegten (z.B. Geräusche, Raumtemperatur, andere Personen etc.)?","ORDINAL","SCALE",
"IPQ_INV2","IPQ_INV2: Meine reale Umgebung war mir nicht mehr bewußt.","ORDINAL","SCALE",
"IPQ_INV3","IPQ_INV3: Ich achtete noch auf die reale Umgebung.","ORDINAL","SCALE",
"IPQ_INV4","IPQ_INV4: Meine Aufmerksamkeit war von der virtuellen Welt völlig in Bann gezogen.","ORDINAL","SCALE",
"IPQ_REAL1","IPQ_REAL1: Wie real erschien Ihnen die virtuelle Umgebung?","ORDINAL","SCALE",
"IPQ_REAL2","IPQ_REAL2: Wie sehr glich Ihr Erleben der virtuellen Umgebung dem Erleben einer realen Umgebung?","ORDINAL","SCALE",
"IPQ_REAL3","IPQ_REAL3: Wie real erschien Ihnen die virtuelle Welt?","ORDINAL","SCALE",
"IPQ_REAL4","IPQ_REAL4: Die virtuelle Welt erschien mir wirklicher als die reale Welt.","ORDINAL","SCALE",
"TIME001","Verweildauer Seite 1","METRIC","SYSTEM",
"TIME002","Verweildauer Seite 2","METRIC","SYSTEM",
"TIME003","Verweildauer Seite 3","METRIC","SYSTEM",
"TIME004","Verweildauer Seite 4","METRIC","SYSTEM",
"TIME005","Verweildauer Seite 5","METRIC","SYSTEM",
"TIME006","Verweildauer Seite 6","METRIC","SYSTEM",
"TIME_SUM","Verweildauer gesamt (ohne Ausreißer)","METRIC","SYSTEM",
"MAILSENT","Versandzeitpunkt der Einladungsmail (nur für nicht-anonyme Adressaten)","TIME","SYSTEM",
"LASTDATA","Zeitpunkt als der Datensatz das letzte mal geändert wurde","TIME","SYSTEM",
"FINISHED","Wurde die Befragung abgeschlossen (letzte Seite erreicht)?","BOOL","SYSTEM",
"Q_VIEWER","Hat der Teilnehmer den Fragebogen nur angesehen, ohne die Pflichtfragen zu beantworten?","BOOL","SYSTEM",
"LASTPAGE","Seite, die der Teilnehmer zuletzt bearbeitet hat","METRIC","SYSTEM",
"MAXPAGE","Letzte Seite, die im Fragebogen bearbeitet wurde","METRIC","SYSTEM",
"MISSING","Anteil fehlender Antworten in Prozent","METRIC","SYSTEM",
"MISSREL","Anteil fehlender Antworten (gewichtet nach Relevanz)","METRIC","SYSTEM",
"TIME_RSI","Maluspunkte für schnelles Ausfüllen","METRIC","SYSTEM",
"DEG_TIME","Maluspunkte für schnelles Ausfüllen","METRIC","SYSTEM",
